file,page,problem_id,issue_type,detail,suggestion,confidence,web_refs,evidence
WhatsApp Image 2025-08-25 at 18.32.14 (1).jpeg,1,3,Missing units,Problem mentions units L but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.14_1.jpeg_p1_prob3_bottom.png
WhatsApp Image 2025-08-25 at 18.32.14 (1).jpeg,1,3,Missing units,"Problem mentions units L, cm but final answer lacks units.",Append correct units to the final answer.,0.70,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.14_1.jpeg_p1_prob3_bottom.png
WhatsApp Image 2025-08-25 at 18.32.14.jpeg,1,1,Undefined symbol,Symbol like k/n appears without definition.,"Define symbols (e.g., k, n) before use.",0.40,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.14.jpeg_p1_prob1_bottom.png
WhatsApp Image 2025-08-25 at 18.32.15 (1).jpeg,1,1,Missing units,Problem mentions units cm but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.15_1.jpeg_p1_prob1_bottom.png
WhatsApp Image 2025-08-25 at 18.32.15 (1).jpeg,1,iv,Missing units,Problem mentions units L but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.15_1.jpeg_p1_probiv_bottom.png
WhatsApp Image 2025-08-25 at 18.32.15 (2).jpeg,1,10,Missing units,Problem mentions units cm but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.15_2.jpeg_p1_prob10_bottom.png
WhatsApp Image 2025-08-25 at 18.32.15 (2).jpeg,1,12,Missing units,Problem mentions units cm but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/WhatsApp_Image_2025-08-25_at_18.32.15_2.jpeg_p1_prob12_bottom.png
practising soultions.pdf,1,3,Missing units,Problem mentions units L but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/practising_soultions.pdf_p1_prob3_bottom.png
practising soultions.pdf,4,2,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/practising_soultions.pdf_p4_prob2_bottom.png
practising soultions.pdf,8,7,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/practising_soultions.pdf_p8_prob7_bottom.png
practising soultions.pdf,11,13,Missing units,Problem mentions units cm but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/practising_soultions.pdf_p11_prob13_bottom.png
practising soultions.pdf,12,14,Missing units,"Problem mentions units L, cm but final answer lacks units.",Append correct units to the final answer.,0.70,,./review_out/evidence/practising_soultions.pdf_p12_prob14_bottom.png
practising soultions.pdf,13,15,Missing units,Problem mentions units cm but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/practising_soultions.pdf_p13_prob15_bottom.png
practising soultions.pdf,13,15,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/practising_soultions.pdf_p13_prob15_bottom.png
practising soultions.pdf,14,16,Missing units,Problem mentions units cm but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/practising_soultions.pdf_p14_prob16_bottom.png
practising soultions.pdf,19,7,Missing units,Problem mentions units L but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/practising_soultions.pdf_p19_prob7_bottom.png
similarityoftriangle.pdf,8,2,Missing units,Problem mentions units m but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/similarityoftriangle.pdf_p8_prob2_bottom.png
similarityoftriangle.pdf,8,2,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p8_prob2_bottom.png
similarityoftriangle.pdf,9,2,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p9_prob2_bottom.png
similarityoftriangle.pdf,11,9,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p11_prob9_bottom.png
similarityoftriangle.pdf,11,11,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p11_prob11_bottom.png
similarityoftriangle.pdf,11,16,Missing units,Problem mentions units m but final answer lacks units.,Append correct units to the final answer.,0.70,,./review_out/evidence/similarityoftriangle.pdf_p11_prob16_bottom.png
similarityoftriangle.pdf,12,6,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p12_prob6_bottom.png
similarityoftriangle.pdf,12,9,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p12_prob9_bottom.png
similarityoftriangle.pdf,12,11,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p12_prob11_bottom.png
similarityoftriangle.pdf,12,16,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p12_prob16_bottom.png
similarityoftriangle.pdf,12,18,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p12_prob18_bottom.png
similarityoftriangle.pdf,12,19,Rounding/precision,Decimal answer without stated rounding; verify required precision.,State required precision and round accordingly.,0.50,,./review_out/evidence/similarityoftriangle.pdf_p12_prob19_bottom.png
